"SaO2sup","P_a","HHb_d","HbO2_d","HbT_d","CCO_d","_PCr_d","_P_d","_ATP_d","ignore","ignore"
1.0,49.1368343918,0.308113340984,-0.690041526956,-0.571428571429,0.0121406303093,5.95389969233,1.07503245098,3.0,7.0222345679,7.02
1.0,49.1364720729,0.371647531912,-0.743549880178,-0.570130796671,0.0118214311232,5.95175939552,1.07260366013,3.0,7.02123851852,7.02
1.0,49.1361097541,0.440821533266,-0.799898328866,-0.567418039749,0.0114697124981,5.94922813408,1.07026769608,3.0,7.02022444444,7.02
1.0,49.1357474353,0.519822038062,-0.866324321645,-0.563290300663,0.011085474434,5.94656527076,1.06818387255,3.0,7.01931086419,7.02
1.0,49.1353851164,0.611437383847,-0.945638401068,-0.557747579413,0.0106687169309,5.94385490196,1.06637852941,3.0,7.01866765432,7.02
1.0,49.1350227976,0.715667570621,-1.03784056713,-0.550789875998,0.0102194399889,5.94109702768,1.06485166667,3.0,7.01829481481,7.02
1.0,49.1346604787,0.832793621041,-1.14293081984,-0.54241719042,0.00973764360779,5.93829164792,1.06360328432,3.0,7.01819703703,7.02
1.0,49.1342981599,0.963919671461,-1.26090915919,-0.532629522677,0.00922332778772,5.93543876269,1.06263338236,3.0,7.01838765432,7.02
1.0,49.1256542676,1.10904572188,-1.39177558518,-0.521426872771,0.00867649252865,5.93253837197,1.06194196079,3.0,7.01886666666,7.02
1.0,49.1068654477,1.2681717723,-1.5358335562,-0.5088092407,0.00808896255263,5.92959047578,1.06152901961,3.0,7.01963407407,7.02
1.0,49.0880766278,1.44129782272,-1.69713790402,-0.494776626465,0.00744181360513,5.9265950741,1.06139455883,3.0,7.02068987654,7.02
1.0,49.0692878079,1.62897932155,-1.87568862866,-0.477508787488,0.00673504568613,5.92355216695,1.06153857843,3.0,7.02203407407,7.02
1.0,49.0504989881,1.8361690171,-2.07148573011,-0.456609208939,0.00596865879564,5.92046175432,1.06196107843,3.0,7.02366666666,7.02
1.0,49.0317101682,2.06286690937,-2.28452920837,-0.432077890816,0.00514265293366,5.91732383622,1.06266205883,3.0,7.0254691358,7.02
1.0,49.0129213483,2.30907299837,-2.51481906344,-0.403914833121,0.0042570281002,5.91413841263,1.06364151961,3.0,7.02727160494,7.02
1.0,48.9941325284,2.57478728408,-2.76235529533,-0.372120035853,0.00331178429524,5.91090548356,1.06489946079,3.0,7.0290437037,7.02
1.0,48.9753437085,2.86000976652,-3.02713790402,-0.336693499013,0.00230692151879,5.90762504902,1.06642653595,3.0,7.0304462963,7.02
1.0,48.9565548887,3.16407203114,-3.30916688953,-0.297635222599,0.00124243977086,5.904297109,1.06786078432,3.0,7.03147938272,7.02
1.0,48.9377660688,3.48528885147,-3.61305038467,-0.254945206613,0.000118339051432,5.90092166349,1.06920220588,3.0,7.03214296296,7.02
1.0,48.9189772489,3.82320695528,-3.94004067594,-0.208623451054,-0.00112400041034,5.89749871251,1.07045080066,3.0,7.03243703704,7.02
0.984166666667,48.861761928,4.17782634258,-4.29013776332,-0.158669955922,-0.00266443472956,5.89402825605,1.07160656863,3.0,7.03236160494,7.02
0.968333333333,48.7840083048,4.54914701337,-4.66334164681,-0.105084721218,-0.00447898309088,5.89051029412,1.07266950981,3.0,7.03191666667,7.018
0.9525,48.7062546816,4.93716896763,-5.05965232643,-0.0478319739647,-0.00655910687064,5.8869448267,1.07376112745,3.0,7.03115154321,7.016
0.936666666667,48.6285010584,5.34277708501,-5.46327851639,0.014805388673,-0.00890480606886,5.88333185381,1.07513122549,3.0,7.0302287037,7.014
0.920833333333,48.5507474352,5.77090285994,-5.87036375729,0.0828273666952,-0.0115160806855,5.87921664124,1.07677980392,3.0,7.02914814815,7.012
0.905,48.4729938121,6.21555395353,-6.28090804913,0.156233960102,-0.0143929307207,5.87457737921,1.07870686275,3.0,7.02794024691,7.01
0.889166666667,48.3952401889,6.67673036577,-6.69491139191,0.235025168893,-0.0175353561742,5.86941406771,1.08091240196,3.0,7.0269441358,7.008
0.873333333333,48.3174865657,7.15443209666,-7.11237378563,0.319200993069,-0.0209433570463,5.86372670675,1.08339642157,3.0,7.02615981481,7.006
0.8575,48.2184769038,7.65052462972,-7.53758773901,0.40876143263,-0.0246169333367,5.85751529632,1.08615892157,3.0,7.02558728395,7.004
0.841666666667,48.0461339087,8.16106299704,-7.97198179894,0.503706487575,-0.0286693277848,5.85077983643,1.08919990196,3.0,7.02522654321,7.002
0.825833333333,47.8737909135,8.68601773371,-8.41555596543,0.604036157905,-0.0335834873662,5.84353435042,1.09251936275,3.0,7.0250791358,7.0
0.81,47.7014479183,9.22538883974,-8.87027439146,0.708452668862,-0.039359412081,5.83581232044,1.09611730392,3.0,7.02525617284,6.998
0.794166666667,47.5291049232,9.77917631511,-9.33794283059,0.816838813038,-0.0459971019291,5.82761374646,1.09999372549,3.0,7.02570833333,6.996
0.778333333333,47.3422691744,10.3431934668,-9.81132383419,0.929194590436,-0.0535465169426,5.8189386285,1.10419960784,3.0,7.02627314815,6.994
0.7625,47.083935841,10.9146519573,-10.2876068597,1.04552000105,-0.0620173160608,5.80978696655,1.10877679739,3.0,7.02695061729,6.992
0.746666666667,46.8256025077,11.4935517866,-10.7667919072,1.16581504489,-0.0714094992839,5.80015876062,1.11384538126,3.0,7.02774074074,6.99
0.730833333333,46.5672691744,12.079611932,-11.2488789765,1.29007972195,-0.0817230666118,5.79005401069,1.1194090414,3.0,7.02864351852,6.988
0.715,46.3089358411,12.6727048402,-11.7338680678,1.41831403223,-0.0929580180446,5.77947271679,1.12546777778,3.0,7.02965895062,6.986
0.699166666667,46.0602643435,13.274040739,-12.221759181,1.55051797573,-0.105500711163,5.76841487889,1.13202159042,3.0,7.03078703704,6.984
0.683333333333,45.8879213483,13.8836196285,-12.7122488578,1.68669155245,-0.11943356488,5.75633095156,1.1390704793,3.0,7.03202777778,6.982
0.6675,45.7155783532,14.5014415087,-13.2012822663,1.82683476239,-0.134737654941,5.74312491205,1.14661444445,3.0,7.03337962963,6.98
0.651666666667,45.543235358,15.1269509311,-13.687208076,1.96785223041,-0.151358358379,5.72879676038,1.15465348584,3.0,7.03473148148,6.978
0.635833333333,45.3708923628,15.7526519918,-14.1687755954,2.10778250625,-0.169231060217,5.71334649654,1.16318760349,3.0,7.03608333333,6.976
0.62,45.1937184498,16.3728448559,-14.6459848248,2.24662558992,-0.188355760457,5.69677412053,1.17221679739,3.0,7.03743518518,6.974
0.604166666667,44.9353851164,16.9875295232,-15.1188357639,2.38438148142,-0.208732459098,5.67907963235,1.18174106754,3.0,7.03869333333,6.972
0.588333333333,44.6770517831,17.5967059938,-15.5873284129,2.52105018074,-0.230361156141,5.66026303201,1.19176041394,3.0,7.03965407407,6.97
0.5725,44.4187184498,18.2003742676,-16.0514627717,2.65663168789,-0.253241851584,5.64032431949,1.2022748366,3.0,7.0403174074,6.968
0.556666666667,44.1603851164,18.7990394068,-16.5112388404,2.79112600286,-0.277374545429,5.61926349481,1.21372078431,3.0,7.04068333333,6.966
0.540833333333,43.9020517831,19.3920909302,-16.9592071971,2.92453312566,-0.302759237675,5.59708055796,1.22637348039,3.0,7.04075185185,6.964
0.525,43.6437184498,19.979528838,-17.3938629963,3.05685305628,-0.329337308552,5.57377550894,1.24023292484,3.0,7.04052296296,6.962
0.509166666667,43.3853851164,20.5613531301,-17.8152062382,3.18808579473,-0.356928901944,5.54792338206,1.25529911765,3.0,7.03999666666,6.96
0.493333333333,43.1270517831,21.1375638065,-18.2232369226,3.31823134101,-0.385534017851,5.51930610871,1.27157205882,3.0,7.03924064814,6.958
0.4775,42.9769310101,21.7081608672,-18.6179550496,3.44725392213,-0.415152656274,5.48792368887,1.2889302451,3.0,7.03833254629,6.956
0.461666666667,42.8905783531,22.2722594326,-19.0086770847,3.57343643527,-0.445784817212,5.45377612255,1.30712387255,3.0,7.03727236111,6.954
0.445833333333,42.8042256961,22.824601843,-19.3971731566,3.69677888042,-0.477430500665,5.41731814394,1.32615294118,3.0,7.03615379629,6.952
0.43,42.7178730392,23.3651880983,-19.783443265,3.81728125759,-0.510089706634,5.37857156283,1.34586649238,3.0,7.03518055555,6.95
0.414166666667,42.6315203822,23.8940181986,-20.1674874102,3.93494356677,-0.543874012522,5.33753833348,1.36601323529,3.0,7.03435263889,6.948
0.398333333333,42.6437184498,24.4110921438,-20.549305592,4.04976580796,-0.578969935784,5.29507050817,1.38659316993,3.0,7.03367004629,6.946
0.3825,42.7293464691,24.916409934,-20.9288978105,4.16213260412,-0.615377476418,5.2511680869,1.4076062963,3.0,7.03313277777,6.944
0.366666666667,42.8149744885,25.4133738355,-21.3054188558,4.27229376976,-0.652968736743,5.20583106967,1.42905261438,3.0,7.03274083333,6.942
0.350833333333,42.9006025078,25.8987212736,-21.6763290348,4.38024930487,-0.690619616039,5.15905945648,1.45093212418,3.0,7.03249421296,6.94
0.335,42.9862305271,26.3724522482,-22.0396641945,4.48599920947,-0.728330114307,5.11085324733,1.47324482571,3.0,7.03232523148,6.938
0.319166666667,43.1829696575,26.8345667593,-22.3936185813,4.58954348354,-0.766100231546,5.06121244222,1.49599071895,3.0,7.03215625,6.936
0.303333333333,43.4835735223,27.2850648069,-22.7381921954,4.69088212708,-0.803880007725,5.01013704115,1.51916980392,3.0,7.03198726852,6.934
0.2875,43.784177387,27.7239463911,-23.0733850366,4.79001514011,-0.841659783904,4.95762704412,1.54278208061,3.0,7.03181828704,6.932
0.271666666667,44.0847812517,28.1512115118,-23.3991971049,4.88694252261,-0.879380274179,4.90426422237,1.56670746187,3.0,7.03164930555,6.93
0.255833333333,44.3853851164,28.5645936942,-23.7132183517,4.98166427459,-0.917041145481,4.8502279844,1.5909422658,3.0,7.03148032407,6.928
0.24,44.7850227976,28.9611779893,-24.0135782914,5.07418039605,-0.954642397813,4.79551833021,1.61547856209,3.0,7.03131134259,6.926
0.224166666667,45.3006025077,29.3397541692,-24.3002769239,5.16449088698,-0.991452949372,4.7401352598,1.63989108932,3.0,7.03114236111,6.924
0.208333333333,45.8161822178,29.7006711526,-24.5733142493,5.25259574739,-1.02719035944,4.68462831863,1.66417984749,3.0,7.03097337963,6.922
0.1925,46.3665445367,30.0456861756,-24.8326902676,5.33849497728,-1.06185462803,4.62909352941,1.6883448366,3.0,7.03080439815,6.92
0.176666666667,47.2690807686,30.3747992382,-25.0800563093,5.42353697589,-1.0955003781,4.57353089216,1.71238605664,3.0,7.03063541667,6.918
0.160833333333,48.1716170005,30.6905534958,-25.3166630658,5.50980024989,-1.12819222462,4.51794040686,1.73630350763,3.0,7.03046643518,6.916
0.145,49.0741532323,30.9986487837,-25.5406960725,5.59728479927,-1.1599301676,4.46232207353,1.76009718954,3.0,7.03016473765,6.914
0.129166666667,49.6520517831,31.2990851017,-25.7518409926,5.68599062404,-1.19071420703,4.40667589216,1.7837671024,3.0,7.02962083333,6.912
0.113333333333,50.1031387396,31.5918624499,-25.950097826,5.7759177242,-1.22020861151,4.35100186274,1.80731324619,3.0,7.02883472222,6.91
0.0975,50.5542256961,31.876695458,-26.1354665728,5.86706609974,-1.24839139861,4.29529998529,1.83073562091,3.0,7.02780640432,6.908
0.0816666666667,51.1176314932,32.1533316291,-26.3079472329,5.95943575067,-1.27526256834,4.2395702598,1.85359777778,3.0,7.02653587963,6.906
0.0658333333333,51.8911822179,32.4223987306,-26.4703810954,6.05302667698,-1.3008221207,4.18381022829,1.87562449346,3.0,7.02502314815,6.904
0.05,52.4082112034,32.6838967627,-26.6230207191,6.14783887869,-1.32507005569,4.1279507395,1.89681576797,3.0,7.02326820988,6.902
0.05,52.7948054063,32.9378257252,-26.7658661042,6.24387235577,-1.3480063733,4.0734167591,1.91717160131,3.0,7.02127106482,6.9
0.05,53.1813996092,33.1822628018,-26.8989172505,6.34112710825,-1.36946320783,4.02042635574,1.93669199346,3.0,7.01903171296,6.902
0.05,53.643356131,33.4134909984,-27.0221741582,6.43960313611,-1.38889299733,3.96897952941,1.95537694444,3.0,7.01655015432,6.904
0.05,54.2879213483,33.6315103151,-27.1356368273,6.53930043936,-1.4062957418,3.91907628011,1.97322645425,3.0,7.01395910494,6.906
0.05,54.697703957,33.8363207519,-27.2381997553,6.64021901799,-1.42167144124,3.87071660784,1.99049223856,3.0,7.01136805556,6.908
0.05,54.9553126527,34.0279223088,-27.3183536037,6.74235887201,-1.43502009565,3.8239005126,2.00753767429,3.0,7.00877700617,6.91
